ringnr natal.island adult.island disp hatch.year gen_sex
8168601 26 38 1 1998 0
8168602 38 38 0 1998 1
8168603 38 38 0 1998 0
8168605 38 38 0 1998 0
8168606 27 38 1 1998 0
8747234 20 38 1 1998 0
8168607 28 28 0 1998 1
8168608 28 28 0 1998 0
8168610 28 28 0 1998 0
8168612 28 28 0 1998 0
8168614 28 28 0 1998 1
8168692 28 28 0 1998 1
8730457 28 28 0 1998 0
8730483 28 28 0 1998 1
8730527 28 28 0 1998 1
8730529 28 28 0 1998 0
8730979 28 28 0 1998 0
8730981 28 28 0 1998 1
8732552 28 28 0 1998 0
8732559 28 28 0 1998 0
8747114 28 28 0 1998 1
8747117 88 28 1 1998 1
8747256 88 28 1 1998 1
8747258 28 28 0 1998 1
8747259 88 28 1 1998 0
8747260 28 28 0 1998 0
8747526 28 28 0 1998 0
8168613 28 27 1 1998 1
8168635 88 27 1 1998 0
8168636 27 27 0 1998 0
8168650 26 27 1 1998 1
8168655 27 27 0 1998 1
8168771 88 27 1 1998 1
8168772 88 27 1 1998 0
8681073 27 27 0 1998 1
8681079 27 27 0 1998 0
8681081 27 27 0 1998 0
8730418 26 27 1 1998 1
8730431 27 27 0 1998 0
8730486 27 27 0 1998 0
8730496 26 27 1 1998 1
8730506 27 27 0 1998 0
8730509 27 27 0 1998 0
8730535 27 27 0 1998 0
8730537 27 27 0 1998 1
8730538 27 27 0 1998 1
8730577 27 27 0 1998 0
8730584 27 27 0 1998 0
8730586 27 27 0 1998 1
8732205 27 27 0 1998 0
8732211 27 27 0 1998 0
8732213 27 27 0 1998 1
8732249 27 27 0 1998 0
8732288 27 27 0 1998 0
8732292 27 27 0 1998 0
8732293 27 27 0 1998 1
8732294 27 27 0 1998 1
8732296 27 27 0 1998 1
8732637 27 27 0 1998 1
8732638 27 27 0 1998 1
8732639 27 27 0 1998 0
8732640 27 27 0 1998 0
8732641 27 27 0 1998 0
8732644 27 27 0 1998 1
8732646 28 27 1 1998 0
8732647 88 27 1 1998 0
8732648 28 27 1 1998 1
8732649 27 27 0 1998 0
8732650 27 27 0 1998 0
8732651 27 27 0 1998 1
8732652 27 27 0 1998 1
8732653 27 27 0 1998 1
8732654 27 27 0 1998 1
8732656 27 27 0 1998 1
8732657 27 27 0 1998 1
8732659 27 27 0 1998 0
8732660 27 27 0 1998 1
8732685 26 27 1 1998 1
8732686 27 27 0 1998 0
8732687 88 27 1 1998 1
8732689 27 27 0 1998 0
8732690 27 27 0 1998 1
8732691 27 27 0 1998 1
8747100 27 27 0 1998 1
8747101 27 27 0 1998 1
8747102 27 27 0 1998 0
8747103 28 27 1 1998 1
8747104 27 27 0 1998 1
8747105 27 27 0 1998 0
8747218 88 27 1 1998 1
8747224 27 27 0 1998 1
8747227 20 27 1 1998 0
8747228 88 27 1 1998 0
8747229 27 27 0 1998 1
8747363 28 27 1 1998 0
8747364 27 27 0 1998 1
8747365 27 27 0 1998 0
8747366 27 27 0 1998 0
