ID,ringnr,indnr,sex,island_current,adultSNPisland,hatchisland,hatchyear,year,month,day,age,tarsus,wing,billD,billL,mass,totalbadge,visiblebadge
1,8118424,1,1,28,28,28,2007,2009,7,30,2,19.89,81.03,8.61,13.15,31.4,20.6257121089188,15.9646484458631
1,8118424,1,1,28,28,28,2007,2010,5,7,3,19.74,82.38,8.26,13.83,33.2,21.1215529732072,14.5334097857316
1,8118424,1,1,28,28,28,2007,2010,8,10,3,19.97,81,8.4,13.6,33.2,21.5329979334044,20.351167042703
2,8118425,2,2,28,28,28,2007,2008,6,17,1,19.14,77.38,8.51,13.86,30.3,-99,-99
2,8118425,2,2,28,28,28,2007,2008,6,17,1,19.5,75.03,8.58,13.98,30.3,-99,-99
3,8118426,3,1,28,28,28,2007,2008,5,29,1,19.6,79,8.47,12.52,32.8,18.2282747400844,15.5794736753204
3,8118426,3,1,28,28,28,2007,2009,8,11,2,19.85,79.03,8.95,13.1,35,20.3068953806336,16.7889844838811
3,8118426,3,1,28,28,28,2007,2010,6,19,3,19.61,80,8.77,13.48,33.5,20.5382569854406,16.1328856687203
3,8118426,3,1,28,28,28,2007,2010,6,19,3,19.55,81,8.52,13.04,33.5,19.7223223784624,18.5099972987572
3,8118426,3,1,28,28,28,2007,2010,6,19,3,19.53,79,8.51,13.33,33.5,20.0167429918056,17.2907489716322
3,8118426,3,1,28,28,28,2007,2010,7,21,3,19.51,79.43,8.75,13.84,31.6,19.7223223784624,16.9755706826015
4,8118429,4,1,28,28,28,2006,2007,7,24,1,19.68,80.85,7.86,13.66,31.3,19.7109106841871,15.3905815354716
5,8118430,5,1,28,28,28,2007,2008,6,2,1,18.83,79,8.25,13.04,29.9,19.2137971260238,17.6258333136337
5,8118430,5,1,28,28,28,2007,2008,6,2,1,18.81,79,8.12,13.08,29.9,19.4234394482543,17.8289091085237
6,8118432,6,2,26,26,26,2007,2008,7,21,1,19.67,79.38,8.47,14.28,30.4,-99,-99
6,8118432,6,2,26,26,26,2007,2009,5,4,2,19.45,81.86,8.08,13.74,33.4,-99,-99
7,8118433,7,1,26,26,26,2007,2008,6,10,1,18.11,79.86,8.1,13.43,28.5,20.8751047901561,15.7661028792787
7,8118433,7,1,26,26,26,2007,2008,6,10,1,18.04,79.29,8.21,12.8,-99,-99,-99
8,8118435,8,2,26,26,26,2006,2007,7,25,1,19.43,75.85,7.77,13.42,27.6,-99,-99
8,8118435,8,2,26,26,26,2006,2009,6,15,3,19.41,79.43,8.37,14.2,30.1,-99,-99
10,8168602,9,2,38,38,38,1998,1999,5,31,1,20.5,77.86,8.14,14.49,32.2,-99,-99
10,8168602,9,2,38,38,38,1998,1999,7,13,1,20.4,76.86,7.94,14.69,34.9,-99,-99
11,8168603,10,1,38,38,38,1998,1999,5,31,1,20.1,81.86,8.34,14.89,32.2,21.658023917246,19.1081134599939
11,8168603,10,1,38,38,38,1998,1999,7,13,1,20,82.86,8.64,14.89,31.7,21.3018778514947,18.1292581205079
12,8168605,11,1,38,38,38,1998,1999,5,31,1,19.6,82.86,8.44,13.89,30.1,21.1641205817771,18.8592152540873
12,8168605,11,1,38,38,38,1998,2000,5,23,2,19.68,82.83,8.39,13.63,29.8,19.7223223784624,16.3545100813201
13,8168606,12,1,38,38,38,1998,1999,5,31,1,19.9,80.86,8.04,14.39,33.3,21.4282523785772,18.3757993023433
13,8168606,12,1,38,38,38,1998,2000,5,23,2,20.08,80.83,8.19,13.93,31.3,20.5382569854406,14.7027208366343
18,8168613,13,2,27,28,28,1998,2001,7,26,3,19.8,79.26,8.64,15.59,30.9,-99,-99
19,8168614,14,2,28,28,28,1998,2002,7,16,4,19.3,77,8.6,15.11,31.4,-99,-99
20,8168635,15,1,27,27,27,1998,1999,5,16,1,19.1,82,7.8,13.9,30.2,19.8360782414267,15.5794736753204
21,8168636,16,1,27,27,27,1998,1999,5,16,1,19,80,8.1,14.2,32,18.8353391262276,14.5488831186452
22,8168639,17,2,26,26,26,1998,1999,5,18,1,19.2,78,7.5,12.6,34.3,-99,-99
22,8168639,17,2,26,26,26,1998,2000,8,7,2,19.68,80.83,8.09,13.93,27.6,-99,-99
23,8168642,18,2,27,27,27,1999,2000,8,6,1,19.2,79,8.9,15.1,27.2,-99,-99
24,8168644,19,1,27,27,27,1999,2000,8,6,1,18.8,80,8.3,14.7,28.5,20.4614271252032,19.5619528677481
26,8168648,20,1,26,26,26,1998,1999,5,26,1,20.1,82,7.8,12.9,31.2,18.424711666672,14.8701042363529
26,8168648,20,1,26,26,26,1998,1999,7,12,1,20.4,81.86,8.44,13.69,31.3,21.0682225163871,18.3757993023433
27,8168650,21,2,27,27,27,1998,1999,5,28,1,20.3,78,8.5,13.5,32.7,-99,-99
27,8168650,21,2,27,27,27,1998,1999,6,5,1,20.4,77.86,8.44,14.09,35.1,-99,-99
28,8168655,22,2,27,27,27,1998,1999,5,30,1,20.5,78,8.3,14.2,32.9,-99,-99
29,8168665,23,2,27,24,24,1999,2000,5,24,1,18,74.86,8.16,13.89,29.3,-99,-99
30,8168692,24,2,28,28,28,1998,1999,6,16,1,19.2,77,8.3,14.1,29.6,-99,-99
30,8168692,24,2,28,28,28,1998,2001,6,7,3,19.3,78.86,8.86,14.59,32.7,-99,-99
30,8168692,24,2,28,28,28,1998,2001,6,7,3,19.4,80.26,8.74,14.49,32.4,-99,-99
31,8168693,25,1,28,28,28,1999,2000,5,18,1,19,79.86,8.56,15.09,32,-99,-99
32,8168698,26,2,27,27,27,1999,2001,6,3,2,19.6,80.86,7.86,14.49,31.5,-99,-99
33,8168702,27,1,27,27,27,1999,2000,5,15,1,18.5,82,8.5,13.6,29,20.3068953806336,15.7375347497631
33,8168702,27,1,27,27,27,1999,2000,7,28,1,18.8,81,8.5,14,30.8,20.3068953806336,17.4203903515392
33,8168702,27,1,27,27,27,1999,2001,7,31,2,18.8,83.26,8.44,14.49,29.4,21.4072417653466,18.6190762391693
34,8168709,28,1,26,26,26,1999,2000,5,16,1,19.9,79,7.8,13.4,32,21.658023917246,17.4462030253004
34,8168709,28,1,26,26,26,1999,2000,6,14,1,20.18,79.83,8.19,14.13,32.6,18.424711666672,15.521597855891
34,8168709,28,1,26,26,26,1999,2000,8,9,1,19.9,79.86,8.06,14.29,28.8,22.2321838783328,19.6308430791956
34,8168709,28,1,26,26,26,1999,2002,7,22,3,19.83,80,7.9,13.5,30,20.9933322747962,18.6069879346443
36,8168768,29,1,27,27,27,1999,2000,6,15,1,20.3,81,7.9,13.6,30.2,20.2403063217927,17.6258333136337
37,8168769,30,1,27,27,27,1999,2000,7,28,1,20.1,83,8.4,14,30.5,20.7670411951245,18.3021856618274
37,8168769,30,1,27,27,27,1999,2000,8,6,1,20,80.86,8.26,13.89,32.2,19.8360782414267,17.6258333136337
38,8168771,31,2,27,27,27,1998,1999,6,24,1,20,78,7.8,14,29.8,-99,-99
39,8168772,32,1,27,27,27,1998,1999,6,24,1,19,80,7.8,13.5,30.5,18.6190762391693,15.4489481842616
40,8309128,33,2,30,27,30,2007,2008,6,19,1,18.61,77.38,8.16,14.51,32.9,-99,-99
40,8309128,33,2,30,27,30,2007,2008,6,19,1,18.45,77.03,8.31,14.46,32.9,-99,-99
40,8309128,33,2,27,27,30,2007,2009,8,8,2,18.99,77.03,8.6,14.48,27.9,-99,-99
40,8309128,33,2,27,27,30,2007,2010,5,25,3,18.72,79.38,8.6,13.76,30.2,-99,-99
41,8309135,34,2,27,27,27,2007,2008,8,6,1,20.75,81.43,8.31,14.07,30.3,-99,-99
43,8309141,35,1,27,27,27,2007,2008,6,28,1,18.98,82.43,8.03,14.41,29.6,20.2403063217927,16.1607549328613
43,8309141,35,1,27,27,27,2007,2008,7,23,1,19.03,82.43,8.49,14.59,30.7,20.5382569854406,19.1081134599939
43,8309141,35,1,27,27,27,2007,2009,6,27,2,19.06,79.43,8.19,13.52,30.4,20.2403063217927,16.3131848515242
43,8309141,35,1,27,27,27,2007,2009,8,5,2,19.02,82.03,8.27,13.6,28.4,20.8966504492945,19.6079065685249
43,8309141,35,1,27,27,27,2007,2010,6,18,3,19.19,81,8.06,13.35,29.5,21.4072417653466,20.3732667974481
43,8309141,35,1,27,27,27,2007,2010,6,18,3,19.09,82,8.06,14.47,29.5,21.3018778514947,18.8592152540873
43,8309141,35,1,27,27,27,2007,2010,6,18,3,19.04,82,7.89,14.35,29.5,21.3018778514947,19.3305457760509
44,8309143,36,1,26,26,26,2007,2008,6,16,1,16.56,81.38,8.78,13.51,29.5,21.438749963559,17.2907489716322
44,8309143,36,1,26,26,26,2007,2008,6,16,1,16.59,-99,8.65,13.75,-99,21.6891678033068,20.6366179399629
46,8309155,37,2,28,28,28,2007,2008,6,2,1,18.98,77,8.18,14.07,30,-99,-99
47,8309156,38,1,28,28,28,2007,2008,8,9,1,19.68,80.38,8.3,13.39,34.9,18.6190762391693,14.3934012658579
47,8309156,38,1,28,28,28,2007,2010,5,27,3,19.73,82.38,8.21,12.93,34.1,20.0167429918056,15.0356243634909
47,8309156,38,1,28,28,28,2007,2012,5,12,5,19.73,82.43,7.93,13.18,32.9,19.0373317458093,15.3319926950152
47,8309156,38,1,28,28,28,2007,2012,5,12,5,19.63,81,7.95,13.05,-99,19.8360782414267,14.2993006822012
47,8309156,38,1,28,28,28,2007,2013,5,4,5,19.75,82.43,7.8,12.23,33.4,19.6308430791956,17.0020586988753
48,8309158,39,1,28,28,28,2007,2009,7,25,2,19.52,79.43,8.39,14.86,34.4,19.2137971260238,17.1732349893664
48,8309158,39,1,28,28,28,2007,2010,6,19,3,19.39,80,8.16,13.98,31.5,20.8966504492945,18.2282747400844
48,8309158,39,1,28,28,28,2007,2010,6,19,3,19.35,78,8.3,13.76,31.5,20.1511786255792,18.3021856618274
48,8309158,39,1,28,28,28,2007,2010,6,19,3,19.29,79,8.25,14.05,31.5,20.3622199182702,18.5099972987572
49,8309159,40,1,28,28,28,2007,2008,7,24,1,20.11,78.03,8.82,13.98,32.3,16.7755774863341,15.1993420910249
52,8309164,41,1,38,38,38,2007,2008,6,4,1,18.7,81,8.2,13.29,33.3,19.0018420159731,17.1076006500035
52,8309164,41,1,38,38,38,2007,2008,6,4,1,18.69,81,8.4,13.89,33.3,19.5158909609579,17.5618905588208
52,8309164,41,1,38,38,38,2007,2009,5,6,2,18.81,82.22,8.24,13.54,35.2,21.3018778514947,16.9755706826015
52,8309164,41,1,38,38,38,2007,2009,5,6,2,18.68,82.86,8.1,13.79,-99,19.9379036009306,17.0020586988753
52,8309164,41,1,38,38,38,2007,2009,5,26,2,-99,-99,-99,-99,32.7,-99,-99
53,8309165,42,1,38,38,38,2007,2008,6,25,1,21.54,82.86,8.88,13.98,32,21.0682225163871,16.7755774863341
53,8309165,42,1,38,38,38,2007,2008,6,25,1,21.5,82.43,8.42,14.38,32,20.5929599620841,15.1993420910249
54,8309171,43,2,27,27,27,2007,2008,6,26,1,19.09,76.86,8.29,14.1,34.6,-99,-99
54,8309171,43,2,27,27,27,2007,2008,6,26,1,18.96,77.43,7.95,13.88,34.3,-99,-99
54,8309171,43,2,27,27,27,2007,2009,7,21,2,19.19,76.43,8.28,14.68,32.9,-99,-99
55,8309173,44,1,27,27,27,2007,2008,7,21,1,20.77,82.03,8.45,14.15,32.1,17.4719775640882,17.3686499187473
56,8309175,45,2,26,27,27,2007,2008,6,10,1,19.08,78.29,8.16,14.09,29.6,-99,-99
56,8309175,45,2,26,27,27,2007,2008,6,10,1,19.07,78.86,8.14,13.54,29,-99,-99
56,8309175,45,2,26,27,27,2007,2008,6,10,1,19.18,78.38,8.4,13.56,24.8,-99,-99
56,8309175,45,2,26,27,27,2007,2008,7,21,1,19.2,80.38,8.42,13.59,29.8,-99,-99
