id dam sire
8118424 8939392 8981850
8118425 8939392 8981850
8118426 8L48694 NA
8118429 8939615 8800436
8118430 8939392 8981850
8118432 8L30782 8887335
8118433 8L30782 8887335
8118435 NA NA
8168601 F0016 M0014
8168602 8732254 8732255
8168603 8732254 8732255
8168605 8732254 8732255
8168606 NA NA
8168607 8598907 8573515
8168608 8651898 8573872
8168610 NA M0020
8168612 8681436 8681059
8168613 8651898 8573872
8168614 8651898 M0020
8168635 NA NA
8168636 F0165 8681268
8168639 F0029 M0026
8168642 8747218 8747363
8168644 8747218 8747363
8168646 NA 8681001
8168648 8651804 8598728
8168650 8681183 M0096
8168655 F0143 8651997
8168665 NA NA
8168692 8598907 8573515
8168693 8168692 8681059
8168698 8747104 8681037
8168702 8747104 8681037
8168709 8681169 NA
8168728 NA 8681001
8168768 8747218 8747363
8168769 8747218 8747363
8168771 NA NA
8168772 NA NA
8309128 NA NA
8309135 8981267 8981822
8309140 8981274 8939535
8309141 8934066 8981270
8309143 8L48323 8L48479
8309150 8939615 8800436
8309155 8981803 8887315
8309156 8939615 8934333
8309158 8943064 8L52943
8309159 8939617 8934333
8309161 8939617 8L52404
8309164 8939582 8943801
8309171 8L19912 8L30598
8309173 F0129 8L48336
8309175 8934304 8L48451
8309182 NA 8816497
8309184 8981545 M0092
8309185 8L52212 8981265
8309186 8668490 8939391
8309190 8L48476 8981805
8309191 8118435 8L30882
8309195 8L30599 8981806
8309197 8981274 M0166
8309201 8L52624 M0167
8309206 NA 8939425
8309251 8934304 8L48451
8309252 8939749 8981823
8309254 8981280 8939199
8309262 NA NA
8309263 8L30289 8981279
8309264 F0095 M0097
8309266 NA 8L52304
8309267 F0063 M0064
8309269 8L52305 8730584
8309272 8L48662 8943485
8309273 8L48418 8981007
8309274 8L52212 8981265
8309277 8L48314 8L48313
8309278 8L19912 8L30598
8309281 8L48410 8L52529
8309283 NA NA
8309285 NA NA
8309287 8857237 8L52596
8309288 F0144 8L48581
8309291 NA 8L19919
8309298 8934216 NA
8414501 NA NA
8414806 NA NA
8414812 NA NA
8537612 F0023 M0021
8537652 NA NA
8537699 F0044 M0044
8537700 F0044 M0044
8537728 NA NA
8573156 NA NA
8573187 NA NA
8573221 NA NA
8573515 NA NA
8573567 NA NA
8573572 NA NA
8573603 NA NA
8573606 NA NA
8573683 NA NA
8573845 F0023 M0021
8573856 NA NA
8573864 F0044 M0044
8573872 NA NA
8573874 NA NA
8573896 F0008 M0007
8573966 F0027 M0024
8598501 NA NA
8598555 8537728 NA
8598568 NA NA
8598593 F0079 8598614
8598594 F0079 8598614
8598595 F0079 8598614
8598596 F0079 8598614
8598602 NA NA
8598614 NA NA
8598728 NA NA
8598748 F0027 M0024
8598849 NA 8573874
8598887 NA NA
8598907 NA 8573572
8651515 NA 8573572
8651522 F0022 M0020
8651524 NA NA
8651525 NA M0020
8651527 NA NA
8651534 NA 8598568
8651539 NA 8598728
8651543 8573156 NA
8651548 F0070 M0072
8651566 NA NA
8651576 NA NA
8651586 8573606 NA
8651621 8414501 8537700
8651656 F0041 M0040
8651658 F0041 M0040
8651665 NA NA
8651695 8573606 M0043
8651701 NA NA
8651728 F0044 M0044
8651730 F0044 M0044
8651738 NA 8573872
8651743 NA NA
8651754 F0008 M0007
8651761 F0041 M0040
8651804 NA M0128
8651842 F0022 M0020
8651860 F0008 M0007
8651868 NA NA
8651869 NA NA
8651870 F0004 M0043
8651875 F0004 M0043
8651876 NA NA
8651878 F0070 M0072
8651881 NA 8573221
8651882 F0050 M0050
8651883 NA NA
8651884 F0044 M0044
8651898 NA NA
8651899 NA NA
8651927 F0050 M0050
8651948 F0143 NA
8651952 NA NA
8651975 F0004 M0043
8651979 F0088 M0094
8651985 F0080 8651883
8651993 8537612 M0137
8651997 NA NA
8651998 F0038 M0037
8668476 8887451 8981270
8668479 8L48476 8981805
8668480 8L49991 8L52963
8668482 8L30779 8L30780
8668484 8L30779 8L30780
8668490 NA NA
8681001 F0040 M0039
8681002 8651878 8573221
8681003 NA 8573856
8681005 NA NA
8681008 NA NA
8681009 NA NA
8681012 NA NA
8681017 NA NA
8681020 NA NA
8681024 F0008 8573966
8681025 F0008 8573966
8681027 8573606 M0043
8681028 F0038 M0037
8681029 NA 8651998
8681032 F0038 M0037
8681033 8681464 M0159
8681034 F0017 M0015
8681037 8573606 M0043
8681038 8651695 8414806
8681039 NA 8651979
8681040 NA NA
8681041 8651695 8414806
8681042 F0143 M0037
8681044 8651695 8414806
8681052 F0013 M0012
8681053 F0040 M0039
8681054 NA NA
8681055 8651898 8573872
8681056 F0088 M0094
8681057 8651522 8651656
8681058 8681320 M0151
8681059 8651898 M0020
8681073 8681076 M0070
8681074 NA NA
8681075 NA M0043
8681076 NA NA
8681077 8573606 M0043
8681079 8651975 8651754
8681081 8651975 8651754
8681095 F0013 M0012
8681097 8651522 8651656
8681098 NA NA
8681101 F0140 8598602
8681109 8537612 M0137
8681121 F0022 8651524
8681132 F0017 M0015
8681147 F0041 M0040
8681169 8651878 8573221
8681175 F0080 8651883
8681180 F0033 M0031
8681181 F0033 M0031
8681183 F0033 M0031
8681184 8537612 8573187
8681190 8573156 M0128
8681195 8537728 NA
8681200 8651539 8598887
8681207 NA NA
8681208 NA NA
8681214 NA NA
8681251 F0080 8651883
8681253 F0080 8651883
8681254 F0080 8651883
8681258 8573156 M0085
8681259 8414501 8537700
8681260 8414501 8537700
8681261 8414501 8537700
8681268 F0039 M0038
8681272 F0039 M0038
8681308 8651543 8598568
8681309 8651543 8598568
8681317 NA NA
8681319 NA M0070
8681320 NA NA
8681321 F0022 8651524
8681322 F0022 8651524
8681342 NA NA
8681352 8598907 8573515
8681355 8651869 8651876
8681356 8651869 8651876
8681361 NA M0085
8681369 F0066 M0066
8681370 F0066 M0066
8681371 F0066 M0066
8681374 8537612 8573187
8681397 NA NA
8681403 NA NA
8681409 8651870 NA
8681413 F0139 8651860
8681414 F0139 8651860
8681415 F0139 8651860
8681416 F0139 8651860
8681419 8414501 8537700
8681420 NA 8537699
8681422 8651621 8651884
8681423 8573567 8651576
8681434 NA NA
8681436 NA NA
8681438 F0140 8598602
8681447 NA NA
8681452 8651975 NA
8681454 8651875 NA
8681462 8681464 8651948
8681464 NA M0020
8681466 8651515 8651701
8681468 F0017 M0015
8681469 F0017 M0015
8730413 8681169 8573856
8730417 F0016 M0014
8730418 8651548 8573572
8730421 8651878 8573221
8730431 8681413 8681074
8730436 NA NA
8730437 NA NA
8730439 F0088 M0094
8730441 8651534 8573856
8730442 NA NA
8730443 8651868 NA
8730453 NA 8651948
8730454 NA M0159
8730457 F0140 8598602
8730483 8414812 M0032
8730486 8730453 NA
8730493 8681254 M0085
8730496 8651543 8598728
8730497 8651543 8598568
8730498 8651543 8598568
8730503 NA NA
8730506 8681414 8730517
8730509 8681414 8730517
8730517 F0134 8651743
8730518 NA NA
8730522 8573156 M0128
8730527 F0086 M0091
8730528 F0086 M0091
8730529 F0086 M0091
8730535 8681025 M0070
8730537 8730503 8681181
8730538 8730503 8573896
8730577 8681042 8681466
8730579 8681042 8681466
8730584 8681039 8651876
8730586 8681039 8651876
8730902 NA NA
8730969 NA NA
8730979 8681101 8598849
8730981 8681101 8598849
8730987 F0080 8651883
8730993 8651543 8598568
8730998 8537612 M0085
8732205 8681356 8651899
8732211 8730442 8681038
8732213 8681075 8651948
8732247 8651878 8598887
8732249 8730436 8414806
8732254 NA NA
8732255 NA NA
8732288 NA NA
8732292 8537728 8573896
8732293 8537728 8573896
8732294 8537728 8573896
8732296 8681028 8730454
8732552 NA NA
8732559 8414812 M0032
8732561 F0077 M0083
8732565 NA NA
8732600 NA NA
8732637 8651869 8573896
8732638 8651695 8414806
8732639 8681415 8651743
8732640 8573606 M0043
8732641 NA 8573896
8732644 F0143 8651997
8732646 NA NA
8732647 NA NA
8732648 8414812 M0032
8732649 F0082 8651860
8732650 8681447 8681037
8732651 8681077 8651948
8732652 8651870 8651948
8732653 8681464 8730454
8732654 NA 8651701
8732656 8681034 8681462
8732657 F0082 8651860
8732659 8681464 8730454
8732660 8681029 M0037
8732676 F0077 M0083
8732678 8730417 8681175
8732680 F0013 M0012
8732681 NA NA
8732685 NA NA
8732686 8651695 8414806
8732687 NA NA
8732689 F0134 8651743
8732690 F0064 8651979
8732691 NA NA
8732695 F0026 8537652
8732696 8681183 M0096
8732697 8651804 8598728
8732698 8681054 8681309
8732699 NA NA
8732700 NA NA
8747012 NA NA
8747100 F0064 8651979
8747101 NA 8681403
8747102 NA 8681012
8747103 NA NA
8747104 8681464 8730454
8747105 F0143 8651998
8747109 8681436 8730902
8747114 F0041 M0040
8747117 NA NA
8747118 8732660 8747105
8747125 8730417 8681040
8747218 NA NA
8747220 8681415 8651899
8747221 8747229 8747227
8747222 8747229 8681012
8747223 8747229 8747227
8747224 NA 8681454
8747225 8732654 8730509
8747227 NA NA
8747228 NA NA
8747229 NA NA
8747233 F0026 8537652
8747234 NA NA
8747239 F0059 M0056
8747254 8681436 8730902
8747256 NA NA
8747257 8681436 8730902
8747258 F0166 8730902
8747259 NA NA
8747260 8414812 8573874
8747263 8732656 8681370
8747267 NA 8747228
8747270 8732660 8651701
8747283 NA NA
8747363 NA NA
8747364 NA NA
8747365 8681029 M0037
8747366 F0059 M0056
8747369 8681419 M0168
8747371 8681260 8537699
8747373 NA NA
8747399 8681101 8681057
8747406 8681008 8651728
8747408 8681008 8537700
8747410 8681420 8681423
8747412 8681184 8573856
8747417 8747117 8747259
8747424 NA M0070
8747517 NA NA
8747518 8681029 M0124
8747519 NA NA
8747520 NA 8730437
8747526 8651898 8573872
8747527 NA 8651656
8747529 8414812 M0151
8747532 NA NA
8747534 NA 8732640
8747548 8168602 8168601
8747549 8732254 8747234
8747550 8732254 8168601
8747551 8732254 8747234
8747552 8732254 8747234
8747553 8732254 8168601
8747554 8747606 8681012
8747555 F0115 8730584
8747561 8747606 8681012
8747563 8732687 8651979
8747564 NA NA
8747565 8747103 M0043
8747603 NA NA
8747604 8681183 8732565
8747606 NA NA
8747608 8598501 8651525
8747609 8681009 8651576
8747623 8681447 8681037
8747624 8747623 8732640
8747630 8732700 8681001
8747636 8651543 8681309
8747691 NA NA
8747692 8573567 8651576
8747693 8681261 8651730
8747694 8681261 8651730
8747698 F0059 M0056
8747699 NA NA
8747703 8732652 8747532
8747705 8747100 8651948
8747720 8681447 8681037
8747722 NA 8651998
8747725 8681029 M0124
8747726 NA NA
8747729 NA 8732646
8747740 NA NA
8747741 NA 8747260
8747748 8732691 8747228
8747749 8732293 8732647
8747756 NA NA
8747757 NA NA
8747758 NA NA
8747759 8747603 8730421
8747760 F0126 8747363
8747761 F0126 8747363
8747764 8747756 8747563
8747777 NA NA
8747780 8732681 8730987
8747781 8732681 8730987
8747799 8800440 8747759
8747805 NA NA
8747807 8651522 8168608
8747808 8681200 NA
8747809 8651878 8168648
8747811 F0029 M0026
8747813 8732254 8168601
8747871 F0005 M0004
8747872 8800467 NA
8747878 NA NA
8747900 8794305 M0112
8747901 8800416 8800395
8747905 8800437 M0145
8747906 8800437 M0145
8747936 8800375 8800497
8747940 8747604 8800371
8747941 8747604 8800371
8747942 8747604 8800371
8747948 8681169 8732565
8747974 NA NA
8747976 8537728 8732647
8747979 8537728 8732647
8747982 8732700 8573572
8794301 NA 8651997
8794302 8747101 8651979
8794305 F0029 M0026
8794306 8681183 8732565
8794307 8730496 8730535
8794367 8747636 8732695
8794368 8747636 8732695
8794372 8681184 8732565
8794375 NA NA
8800018 8732690 8730584
8800019 8732690 8730584
8800021 8732690 8730584
8800022 8730496 M0120
8800023 F0167 8794301
8800025 NA NA
8800027 8794305 8800439
8800028 8168639 8747698
8800029 8168639 8747698
8800030 F0115 8730584
8800031 F0115 8681081
8800035 NA NA
8800037 F0115 8681081
8800038 8747534 8681038
8800041 8681200 8732696
8800042 8168639 8747698
8800045 F0060 M0057
8800046 F0060 M0057
8800059 NA NA
8800060 NA NA
8800061 NA NA
