ringnr,hatchyear,lastyear,firstisland,lastisland,HelgelandSNPisland
8118423,2007,2007,28,28,1
8118424,2007,2010,28,28,1
8118425,2007,2008,28,28,1
8118426,2007,2010,28,28,1
8118427,2007,2007,28,28,1
8118428,2007,2007,28,28,1
8118429,2006,2007,28,28,1
8118430,2007,2008,28,28,1
8118431,2007,2007,28,28,1
8118432,2007,2009,26,26,1
8118433,2007,2009,26,26,1
8118434,2007,2007,26,26,1
8118435,2006,2009,26,26,1
8118436,2007,2007,26,26,1
8118437,2007,2008,26,26,1
8118438,2007,2007,26,26,1
8118439,2007,2007,22,22,1
8118440,2007,2007,22,22,1
8118441,2007,2007,22,22,1
8118442,2007,2007,27,27,1
8118443,2007,2007,27,27,1
8118444,2007,2007,27,27,1
8118445,2007,2007,27,27,1
8118446,2007,2007,27,27,1
8118447,2007,2007,27,27,1
8118448,2007,2007,28,28,1
8118449,2007,2007,28,28,1
8118450,2007,2007,28,28,1
8168601,1998,2001,38,38,1
8168602,1998,1999,38,38,1
8168603,1998,1999,38,38,1
8168604,1998,1998,38,38,1
8168605,1998,2001,38,38,1
8168606,1998,2000,38,38,1
8168607,1998,1999,28,28,1
8168608,1998,1999,28,28,1
8168609,1998,1998,28,28,1
8168610,1998,1999,28,28,1
8168611,1998,1998,28,28,1
8168612,1998,2001,28,28,1
8168613,1998,2001,28,27,1
8168614,1998,2002,28,28,1
8168615,1998,2000,332,332, 
8168616,1998,1998,332,332, 
8168617,1998,2002,332,34, 
8168618,1998,1999,332,332, 
8168619,1998,1999,332,332, 
8168620,1998,1998,332,332, 
8168621,1998,1998,332,332, 
8168622,1998,2000,332,36, 
8168623,1998,1998,332,332, 
8168624,1998,1999,332,332, 
8168625,1998,1998,332,332, 
8168626,1998,1998,332,332, 
8168627,1998,1998,332,332, 
8168628,1998,1998,332,332, 
8168629,1998,1998,332,332, 
8168630,1998,1998,332,332, 
8168631,1998,1999,332,332, 
8168632,1998,1999,332,332, 
8168633,1999,1999,27,27,1
8168634,1998,2002,27,27,1
8168635,1998,1999,27,27,1
8168636,1998,1999,27,27,1
8168637,1998,2002,27,27,1
8168638,1998,2005,27,27,1
8168639,1998,2000,26,26,1
8168640,1999,1999,27,27,1
8168641,1999,1999,27,27,1
8168642,1999,2000,27,27,1
8168643,1999,1999,27,27,1
8168644,1999,2000,27,27,1
8168645,1999,1999,26,26,1
8168646,1999,2000,26,26,1
8168647,1999,1999,26,26,1
8168648,1998,1999,26,26,1
8168649,1998,1999,26,26,1
8168650,1998,1999,27,27,1
8168651,1999,1999,27,27,1
8168652,1999,1999,27,27,1
8168653,1999,1999,27,27,1
8168654,1998,2000,27,27,1
8168655,1998,1999,27,27,1
8168656,1998,2002,22,22,1
8168657,1998,1999,22,22,1
8168658,1998,1999,22,22,1
8168659,1998,2002,22,22,1
8168660,1998,2001,22,22,1
8168661,1998,2000,22,22,1
8168662,1998,1999,22,22,1
8168663,1998,2000,22,22,1
8168664,1999,1999,24,24,1
8168665,1999,2000,24,27,1
8168666,1999,1999,24,24,1
8168667,1999,1999,35,35, 
8168668,1999,1999,35,35, 
8168669,1999,1999,35,35, 
8168670,1999,1999,35,35, 
8168671,1999,1999,35,35, 
8168672,1999,1999,35,35, 
8168673,1999,2000,35,35, 
8168674,1999,1999,35,35, 
8168675,1999,1999,35,35, 
8168676,1999,2000,35,35, 
8168677,1999,1999,35,35, 
8168678,1999,1999,35,35, 
8168679,1999,2000,35,35, 
8168680,1999,1999,35,35, 
8168681,1999,1999,24,24,1
8168682,1999,1999,24,24,1
8168683,1998,1999,23,23,1
8168684,1998,1999,23,23,1
8168685,1999,1999,28,28,1
8168686,1999,1999,28,28,1
8168687,1999,1999,28,28,1
8168688,1999,1999,28,28,1
8168689,1999,1999,28,28,1
8168690,1999,1999,28,28,1
8168691,1999,1999,28,28,1
8168692,1998,2001,28,28,1
8168693,1999,2000,28,28,1
8168694,1999,1999,28,28,1
8168695,1999,1999,27,27,1
8168696,1999,1999,27,27,1
8168697,1999,1999,27,27,1
8168698,1999,2001,27,27,1
8168699,1999,1999,27,27,1
8168700,1999,1999,27,27,1
8168701,1999,1999,27,27,1
8168702,1999,2001,27,27,1
8168703,1999,1999,27,27,1
8168704,1999,1999,27,27,1
8168705,1999,1999,27,27,1
8168706,1999,1999,27,27,1
8168707,1999,1999,27,27,1
8168708,1999,1999,26,26,1
8168709,1999,2002,26,26,1
8168710,1999,1999,26,26,1
8168711,1999,1999,26,26,1
8168712,1999,1999,26,26,1
8168713,1999,1999,26,26,1
