IID FROH FGRM gen_het pruned_gen_het adsex fiflok laflok hatchyear presumedhatchyear firstyear lastyear minadyear maxadyear age1tarsus age1wing age1billD age1billL age1mass age1totba age1visba
8118424 0.00822371826256874 0.00445127 0.33985617709438 0.339010084813705 1 28 28 NA 2007 2007 2010 2008 2010 19.88 80.51 8.27 13.38 32.52 20.44 15.67
8118425 0.00257516575211007 0.00191518 0.340483699043979 0.339108639328906 2 28 28 NA 2007 2007 2008 2008 2008 19.32 76.45 8.52 13.68 31.04 NA NA
8118426 0.0500969103148626 0.0672853 0.308259470889949 0.307156493472989 1 28 28 NA 2007 2007 2010 2008 2010 19.62 78.75 8.53 13.05 33.39 19.21 15.66
8118429 0.0115153349601105 0.0184764 0.340265174850014 0.335685928539921 1 28 28 NA 2006 2007 2007 2007 2007 19.68 81.35 7.74 13.41 31.6 19.58 14.14
8118430 0 0.00206637 0.342081148219707 0.343312666076174 1 28 28 NA 2007 2007 2008 2008 2008 18.82 79.25 8.12 12.87 30.13 19.27 17.03
8118432 0.0396126035988264 0.0517492 0.322046713910414 0.32336399740297 2 26 26 NA 2007 2007 2009 2008 2009 19.56 80.64 8.21 13.82 32.69 NA NA
8118433 0.0563529299752332 0.0627462 0.315960264900662 0.317361684906329 1 26 26 NA 2007 2007 2009 2008 2009 18.11 80.11 8.03 13.24 28.73 20.83 15.07
8118435 0.00640674960584923 0.019053 0.335891443315487 0.33445617945276 2 26 26 NA 2006 2007 2009 2007 2009 19.41 77.59 7.97 13.5 30.01 NA NA
8168601 0.00648417510471244 0.0269244 0.332948819136664 0.336301317886323 1 38 38 NA 1998 1998 2001 1999 2001 NA NA NA NA NA NA NA
8168602 0.0954889344281559 0.146485 0.307293252647839 0.312337645854311 2 38 38 NA 1998 1998 1999 1999 1999 20.45 77.63 8 14.43 34.34 NA NA
8168603 0.0614107837552711 0.0954024 0.332805071315372 0.329576133909287 1 38 38 NA 1998 1998 1999 1999 1999 20.05 82.61 8.43 14.77 32.1 21.41 17.99
8168605 0.0553068167123207 0.11922 0.324524459923335 0.316898773997177 1 38 38 NA 1998 1998 2001 1999 2001 19.64 82.44 8.39 13.76 29.95 20.26 17.38
8168606 0.0228353298574389 0.057798 0.321522375020044 0.324989016930824 1 38 38 NA 1998 1998 2000 1999 2000 19.99 80.44 8.09 14.16 32.3 20.8 16.32
8168607 0.00505749305132656 0.0161632 0.33765537222984 0.337591456717528 2 28 28 NA 1998 1998 1999 1999 1999 NA NA NA NA NA NA NA
8168608 0.00620577998893547 0.0124355 0.336712842872123 0.336548595711672 1 28 28 NA 1998 1998 1999 1999 1999 NA NA NA NA NA NA NA
8168610 0 0.00719913 0.336317142650889 0.33814359522537 1 28 28 NA 1998 1998 1999 1999 1999 NA NA NA NA NA NA NA
8168612 0.00876118218013283 0.0123755 0.336910015456643 0.338091326076539 1 28 28 NA 1998 1998 2001 1999 2001 NA NA NA NA NA NA NA
8168613 0 -0.0273592 0.359672181846297 0.355789694947319 2 28 27 NA 1998 1998 2001 1999 2001 19.79 78.91 8.47 15.2 32.48 NA NA
8168614 0.0819210531004687 0.131211 0.295668872999358 0.294647086688773 2 28 28 NA 1998 1998 2002 1999 2002 19.28 76.39 8.4 14.72 32.98 NA NA
8168635 0 0.000513137 0.340020389669234 0.345114813147231 1 27 27 NA 1998 1999 1999 1999 1999 19.1 82 7.8 13.9 30.2 19.84 15.58
8168636 0 -0.00391093 0.347303827045666 0.346767342268149 1 27 27 NA 1998 1999 1999 1999 1999 19 80 8.1 14.2 32 18.84 14.55
8168639 0.00397636724106702 0.006497 0.340144935553466 0.340517605693325 2 26 26 NA 1998 1999 2000 1999 2000 19.44 79.37 7.7 13.14 31.76 NA NA
8168642 0.00230635727511653 -0.0239557 0.354405813150369 0.358686634938654 2 27 27 1999 NA 1999 2000 2000 2000 19.2 79.41 8.76 14.9 28.82 NA NA
8168644 0 -0.0163939 0.359886577581852 0.360858120558042 1 27 27 1999 NA 1999 2000 2000 2000 18.8 80.26 8.15 14.51 27.96 20.17 18.83
8168646 0.00470964126185527 0.00764753 0.340624119275637 0.33984041879512 1 26 26 1999 NA 1999 2000 2000 2000 NA NA NA NA NA NA NA
8168648 0 -0.0193185 0.357505564830273 0.355112232653349 1 26 26 NA 1998 1999 1999 1999 1999 20.25 82.18 8.06 13.17 31.4 19.68 16
8168650 0 -0.0130443 0.351114550733807 0.351330568515638 2 27 27 NA 1998 1999 1999 1999 1999 20.35 78.06 8.46 13.68 34.27 NA NA
8168655 0 0.0263061 0.338289666784223 0.342232587281144 2 27 27 NA 1998 1999 1999 1999 1999 20.5 78 8.3 14.2 32.9 NA NA
8168665 0 0.00988472 0.338585120125456 0.343548706982038 2 24 27 1999 NA 1999 2000 2000 2000 NA NA NA NA NA NA NA
8168692 0 -0.0925589 0.383806450458404 0.388708813408511 2 28 28 NA 1998 1999 2001 1999 2001 19.29 78.36 8.55 14.11 32.31 NA NA
8168693 0.00246227952780393 0.00394215 0.341033276794643 0.339788450012241 1 28 28 1999 NA 1999 2000 2000 2000 NA NA NA NA NA NA NA
8168698 0 -0.0165687 0.350232698562794 0.352063940313077 2 27 27 1999 NA 1999 2001 2000 2001 19.59 80.59 7.79 14.2 32.24 NA NA
8168702 0 -0.0257228 0.351406681524581 0.350201200263642 1 27 27 1999 NA 1999 2001 2000 2001 18.7 82.15 8.39 13.86 29.93 20.46 16.28
8168709 0.00597367839111497 0.00362301 0.340913355926216 0.338560901165242 1 26 26 1999 NA 1999 2002 2000 2002 19.96 79.57 7.88 13.67 30.85 20.56 16.96
8168728 0.00271253780409567 0.00789702 0.334829587177491 0.339271705848116 1 26 26 1999 NA 1999 2000 2000 2000 NA NA NA NA NA NA NA
8168768 0 0.00653672 0.342587754174713 0.344334872738637 1 27 27 1999 NA 1999 2000 2000 2000 20.3 81.25 7.83 13.41 30.43 20.2 16.93
8168769 0 -0.0071697 0.349110241453149 0.348907872347814 1 27 27 1999 NA 1999 2000 2000 2000 20.05 82.31 8.2 13.72 31.23 20.09 16.97
8168771 0 -0.0265922 0.360442736145934 0.36122593443855 2 27 27 NA 1998 1999 1999 1999 1999 20 78.25 7.77 13.76 30.54 NA NA
8168772 0 -0.0177993 0.357810758962931 0.364217701415973 1 27 27 NA 1998 1999 1999 1999 1999 19 80.25 7.73 13.31 30.73 18.58 14.75
8309128 0 -0.0101087 0.350689439936447 0.352896732003439 2 30 27 2007 NA 2007 2010 2008 2010 NA NA NA NA NA NA NA
8309135 0 -0.0148886 0.345258184272697 0.350529887027386 2 27 27 NA 2007 2007 2008 2008 2008 20.75 81.84 8.17 13.87 31.92 NA NA
8309140 0.0216852611386194 0.0981243 0.30220191436562 0.307857105983171 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309141 0 0.00706614 0.333804467926391 0.339710005745007 1 27 27 NA 2007 2007 2010 2008 2010 19.07 81.06 8.01 13.84 29.79 20.4 17.33
8309143 0 -0.0102877 0.342099308472182 0.342849674966063 1 26 26 2007 NA 2007 2010 2008 2010 16.56 81.63 8.71 13.32 29.73 21.4 16.59
8309150 0.0124437194890464 0.0223555 0.334652458436505 0.332778744320389 1 28 28 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309155 0.0125850595568568 0.0246126 0.329942887014164 0.330693405846363 2 28 28 NA 2007 2007 2008 2008 2008 18.98 77.25 8.15 13.83 30.74 NA NA
8309156 0.00523727805482836 -0.000408412 0.338189155330872 0.338291348320317 1 28 28 NA 2007 2007 2013 2008 2013 19.74 80.68 7.97 12.88 33.69 18.81 14.82
8309158 0.0324666771387305 0.0436044 0.328875807085198 0.327471189536073 1 28 28 NA 2007 2007 2010 2008 2010 19.4 78.15 8.13 13.96 32.47 19.56 16.58
8309159 0 0.00399877 0.34340317132565 0.339797913950456 1 28 28 NA 2007 2007 2008 2008 2008 20.11 78.53 8.7 13.73 32.6 16.64 13.95
8309161 0 0.00157186 0.344412639613852 0.342162579317441 2 28 28 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309164 0.0713708314108133 0.101518 0.327794035481747 0.322815144163715 1 38 38 NA 2007 2007 2009 2008 2009 18.74 81.3 8.22 13.45 34.09 19.79 16.6
8309171 0 -0.021025 0.356915861722704 0.356356845531577 2 27 27 NA 2007 2007 2011 2008 2011 19.08 77.08 8.11 13.94 34.95 NA NA
8309173 0.00455472467709041 0.0462763 0.337118748550778 0.338042895905705 1 27 27 NA 2007 2007 2008 2008 2008 20.77 82.53 8.33 13.9 32.4 17.34 16.12
8309175 0.00259299449538918 0.000915621 0.337541887721584 0.340131578947368 2 27 26 NA 2007 2007 2013 2008 2013 19.08 79.27 8.25 13.4 30.48 NA NA
8309182 0 0.00588851 0.341759660766546 0.347812968741918 1 27 27 NA 2007 2007 2009 2008 2009 20.11 80.26 8.05 13.51 30.23 20.51 17.94
8309183 0 -0.0238069 0.357364794628707 0.358162157467321 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309184 0.00556205413794638 0.023717 0.332562197020727 0.334860256961844 2 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309185 0.140298327016755 0.17376 0.273103836786091 0.276339884724766 NA 27 27 NA 2007 2007 2007 NA NA NA NA NA NA NA NA NA
8309186 0 0.0031581 0.337734484148678 0.341646768981548 2 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309190 0.0089559647530883 0.0146522 0.339897236648215 0.33683553696708 1 26 26 NA 2007 2007 2011 2008 2011 18.91 82.09 8.27 13.88 32.26 20.21 14.69
8309191 0.0168178283934816 0.0297117 0.329961256995265 0.331135654666554 1 26 26 NA 2007 2007 2011 2008 2011 19.29 81.2 8.3 14.02 31.84 19.85 15.5
8309195 0 0.0024947 0.347909101945766 0.342381911835372 1 27 26 NA 2007 2007 2008 2008 2008 18.24 78.76 7.92 13.71 30.68 20.12 16.02
8309197 0.00241970260869166 -0.0114898 0.34736527081357 0.347909057154453 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309201 0.00480643679940062 0.0319902 0.334185448160867 0.33841651133172 1 25 23 2007 NA 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309206 0 0.0167284 0.338219380769401 0.340708188535376 NA 23 23 2007 NA 2007 2007 NA NA NA NA NA NA NA NA NA
8309251 0.0103644901280029 0.0103859 0.338895530318124 0.336034511926916 2 27 27 NA 2007 2007 2010 2008 2010 20 77.58 8.41 14.02 40.68 NA NA
8309252 0.00239370827912838 0.0126652 0.342253273324744 0.343557164058635 2 27 27 NA 2007 2007 2009 2008 2009 19.52 78.89 8.38 13.8 32.31 NA NA
8309254 0.00494374326434779 0.0192101 0.336711648445488 0.334266623151313 1 27 27 NA 2007 2007 2009 2008 2009 20.04 83.64 8.34 14.04 32.46 20.83 17.87
8309262 0 0.01365 0.336738355273486 0.339714026094262 1 27 27 NA 2007 2007 2010 2008 2010 NA NA NA NA NA NA NA
8309263 0 0.00902259 0.342003414911781 0.345982745261912 2 27 27 NA 2007 2007 2008 2008 2008 19.53 78.35 8.44 14.08 32 NA NA
8309264 0 0.00917247 0.343428074278083 0.341714372819349 2 27 27 NA 2007 2007 2009 2008 2009 NA NA NA NA NA NA NA
8309266 0 0.0136022 0.332035511937926 0.336484747943258 1 27 27 NA 2007 2007 2011 2008 2011 NA NA NA NA NA NA NA
8309267 0.00321278107735237 0.0101439 0.337867161808461 0.339305557930009 1 27 27 NA 2007 2007 2008 2008 2008 20 83.09 7.95 13.9 30.1 20.37 15.75
8309269 0.0475725745175335 0.0750152 0.312089592765196 0.312452350698856 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309272 0.0115717398131578 0.0229153 0.336040754983866 0.339388669880047 2 27 27 NA 2007 2007 2011 2008 2011 20.31 77.86 8.13 14.13 33.01 NA NA
